Player,Pos,Squad,90s,Crs,Int,TklW,PlayerID,Crs_per90,Int_per90,TklW_per90
Cody Gakpo,MFFW,Liverpool,30.4,86,12,15,1971591f,2.8289473684210527,0.39473684210526316,0.493421052631579
Conor Gallagher,MF,Tottenham,13.2,23,18,14,c2731c10,1.7424242424242424,1.3636363636363638,1.0606060606060606
Alejandro Garnacho,MF,Chelsea,14.1,61,4,13,7aa8adfe,4.326241134751773,0.28368794326241137,0.9219858156028369
James Garner,MFDF,Everton,37.9,205,57,72,4e015693,5.408970976253299,1.503957783641161,1.899736147757256
Lutsharel Geertruida,DFMF,Sunderland,18.8,9,20,22,242e1043,0.4787234042553191,1.0638297872340425,1.1702127659574468
Morgan Gibbs-White,MF,Nottingham,34.4,42,12,16,32f60ed8,1.2209302325581395,0.3488372093023256,0.46511627906976744
Jamie Gittens,MF,Chelsea,5.5,13,2,4,10745192,2.3636363636363638,0.36363636363636365,0.7272727272727273
Wilfried Gnonto,FW,Leeds United,6.0,20,3,13,75fdd638,3.3333333333333335,0.5,2.1666666666666665
Angel Gomes,MFFW,Wolves,5.1,12,1,5,645a3363,2.3529411764705883,0.19607843137254904,0.9803921568627452
João Gomes,MF,Wolves,31.4,31,36,68,8b57ad2c,0.9872611464968153,1.1464968152866242,2.1656050955414012
Rodrigo Gomes,MFFW,Wolves,10.7,24,11,18,8dcf77c0,2.2429906542056077,1.0280373831775702,1.6822429906542058
Toti Gomes,DF,Wolves,15.8,11,13,11,f0caab96,0.6962025316455696,0.8227848101265822,0.6962025316455696
Diego Gómez,MFFW,Brighton,23.6,23,19,49,916728da,0.9745762711864406,0.8050847457627118,2.0762711864406778
Joe Gomez,DF,Liverpool,6.7,16,8,7,7a11550b,2.388059701492537,1.1940298507462686,1.044776119402985
Nicolás González,MF,Manchester City,17.4,3,24,30,2c56a792,0.1724137931034483,1.3793103448275863,1.7241379310344829
